28/03/2008,8591.910156,8668.219727,8564.030273,8623.480469,8623.448242,5444200
31/03/2008,8605.900391,8627.530273,8499.030273,8572.589844,8572.557617,4984600
01/04/2008,8593.200195,8608.950195,8419.719727,8419.719727,8419.6875,5053400
02/04/2008,8578.589844,8619.780273,8519.669922,8605.320313,8605.288086,5023400
03/04/2008,8593.849609,8621.589844,8555.620117,8596.339844,8596.307617,4691600
07/04/2008,8638.629883,8729.790039,8619.990234,8729.790039,8729.757813,4730800
08/04/2008,8717.05957,8725.69043,8672.849609,8672.849609,8672.817383,4826000
09/04/2008,8684.660156,8759.75,8628.620117,8667.929688,8667.897461,5174000
10/04/2008,8682.099609,8829.400391,8681.889648,8829.400391,8829.368164,4983000
11/04/2008,8872.650391,8937.120117,8840.040039,8909.580078,8909.546875,7167000
14/04/2008,8877.469727,8928.870117,8839.120117,8892.679688,8892.646484,6673800
15/04/2008,8931.080078,8951.55957,8885.320313,8924.780273,8924.74707,6236200
16/04/2008,9007.629883,9068.969727,8981.910156,9066.040039,9066.005859,7499400
17/04/2008,9185.580078,9194.860352,9063.69043,9090.429688,9090.395508,8117200
18/04/2008,9092.929688,9123.070313,9025.009766,9074.339844,9074.305664,6308800
21/04/2008,9156.769531,9160.099609,9047.660156,9083.320313,9083.286133,6144600
22/04/2008,9067.900391,9081.290039,8997.019531,9037.25,9037.216797,5248000
23/04/2008,9032.610352,9079.429688,8951.530273,9008.490234,9008.457031,5812200
24/04/2008,9025.469727,9064.150391,8974.790039,8990.330078,8990.296875,5208400
25/04/2008,9053.299805,9062.969727,8945.219727,8947.830078,8947.796875,5443800
28/04/2008,8965.730469,9079.599609,8953.950195,9079.599609,9079.56543,5140800
29/04/2008,9056.160156,9077.769531,8891.740234,8891.740234,8891.707031,5244800
30/04/2008,8917.620117,8962.990234,8882.570313,8919.919922,8919.886719,5097200
02/05/2008,8998.05957,9010.709961,8950.280273,8963.629883,8963.59668,5657600
05/05/2008,8968.540039,8976.219727,8814.480469,8837.070313,8837.038086,5174600
06/05/2008,8852.200195,8862.5,8782.959961,8857.370117,8857.337891,4739600
07/05/2008,8919.929688,8977.900391,8902.19043,8926.339844,8926.306641,5208200
08/05/2008,8865.730469,8880.709961,8806.990234,8866.620117,8866.587891,5033200
09/05/2008,8895.049805,8896.30957,8792.389648,8792.389648,8792.357422,5184000
12/05/2008,8808.589844,8838.990234,8754.269531,8830.049805,8830.017578,4324000
13/05/2008,8894.94043,8995.349609,8859.240234,8989.530273,8989.49707,4869000
14/05/2008,9038.849609,9056.799805,8994.169922,9018.419922,9018.386719,4821000
15/05/2008,9093.209961,9158.950195,9087.950195,9157.179688,9157.145508,6043800
16/05/2008,9211.209961,9241.519531,9171.389648,9197.410156,9197.375977,6284600
19/05/2008,9249.570313,9295.200195,9207.269531,9295.200195,9295.166016,5674400
20/05/2008,9309.950195,9309.950195,9057.30957,9068.889648,9068.855469,6496800
21/05/2008,9036.570313,9079.910156,8973.150391,9015.570313,9015.537109,5356800
22/05/2008,8898.94043,9008.030273,8878.05957,9008.030273,9007.99707,5864600
23/05/2008,9007.209961,9050.780273,8834.730469,8834.730469,8834.698242,5748800
26/05/2008,8808.740234,8811.070313,8706.780273,8707.830078,8707.797852,4512800
27/05/2008,8779.339844,8789.769531,8723.719727,8778.389648,8778.357422,4165000
28/05/2008,8826.94043,8834.519531,8665.730469,8665.730469,8665.698242,4378400
29/05/2008,8773.80957,8794.019531,8675.709961,8684.919922,8684.887695,4699200
